CenterLat,CenterLon,lon_180,Concentration,Sigma
-62.5,42.5,42.5,NaN,NaN
-62.5,47.5,47.5,NaN,NaN
-62.5,52.5,52.5,NaN,NaN
-62.5,57.5,57.5,NaN,NaN
-62.5,62.5,62.5,NaN,NaN
-62.5,67.5,67.5,NaN,NaN
-62.5,72.5,72.5,NaN,NaN
-62.5,77.5,77.5,NaN,NaN
-62.5,82.5,82.5,NaN,NaN
-62.5,87.5,87.5,NaN,NaN
-62.5,92.5,92.5,NaN,NaN
-62.5,97.5,97.5,NaN,NaN
-62.5,102.5,102.5,NaN,NaN
-62.5,107.5,107.5,NaN,NaN
-62.5,112.5,112.5,NaN,NaN
-62.5,117.5,117.5,NaN,NaN
-62.5,122.5,122.5,NaN,NaN
-62.5,127.5,127.5,NaN,NaN
-62.5,132.5,132.5,NaN,NaN
-62.5,137.5,137.5,NaN,NaN
-62.5,142.5,142.5,NaN,NaN
-62.5,147.5,147.5,NaN,NaN
-62.5,152.5,152.5,NaN,NaN
-62.5,157.5,157.5,NaN,NaN
-62.5,162.5,162.5,NaN,NaN
-62.5,167.5,167.5,NaN,NaN
-62.5,172.5,172.5,NaN,NaN
-62.5,177.5,177.5,NaN,NaN
-62.5,182.5,-177.5,NaN,NaN
-62.5,187.5,-172.5,NaN,NaN
-62.5,192.5,-167.5,NaN,NaN
-62.5,197.5,-162.5,NaN,NaN
-62.5,202.5,-157.5,NaN,NaN
-62.5,207.5,-152.5,NaN,NaN
-62.5,212.5,-147.5,NaN,NaN
-62.5,217.5,-142.5,NaN,NaN
-62.5,222.5,-137.5,NaN,NaN
-62.5,227.5,-132.5,NaN,NaN
-62.5,232.5,-127.5,NaN,NaN
-62.5,237.5,-122.5,NaN,NaN
-62.5,242.5,-117.5,NaN,NaN
-62.5,247.5,-112.5,NaN,NaN
-62.5,252.5,-107.5,NaN,NaN
-62.5,257.5,-102.5,NaN,NaN
-62.5,262.5,-97.5,NaN,NaN
-62.5,267.5,-92.5,NaN,NaN
-62.5,272.5,-87.5,NaN,NaN
